#{"t_start": 1784588947.4668708, "env_id": "None"}
r,l,t
310.95,60,0.0102
816.55,60,0.01708
394.0,60,0.023138
684.3,60,0.02955
621.15,60,0.036286
661.3,60,0.042932
682.15,60,0.049646
400.15,60,0.056988
482.9,60,0.064334
311.55,60,0.071204
614.2,60,0.077729
652.5,60,0.084596
524.1,60,0.091449
556.3,60,0.098128
530.9,60,0.104887
550.25,60,0.111464
854.5,60,0.124944
406.95,60,0.152436
561.8,60,0.179492
817.95,60,0.203286
431.4,60,0.23172
590.6,60,0.259774
348.15,60,0.284439
488.2,60,0.311707
-151.0,4,0.313636
180.0,60,0.33842
663.55,60,0.36515
614.45,60,0.392222
243.1,60,0.418837
624.0,60,0.447131
486.25,60,0.494271
-187.45,37,0.514445
578.35,60,0.542464
-157.75,21,0.552541
152.35,60,0.582502
-161.05,46,0.604099
489.4,60,0.633241
434.6,60,0.661702
405.45,60,0.686898
380.5,60,0.714536
622.2,60,0.744001
426.25,60,0.768197
439.4,60,0.795091
476.0,60,0.824394
538.25,60,0.85403
-205.0,9,0.859221
-152.45,9,0.863599
314.55,60,0.890822
409.45,60,0.920338
478.0,60,0.947617
578.45,60,0.97175
511.7,60,1.000212
398.65,60,1.031126
621.35,60,1.058849
706.6,60,1.083374
689.35,60,1.111181
591.8,60,1.139951
-160.6,15,1.14706
800.75,60,1.174556
-159.5,6,1.176716
-150.85,16,1.183981
-150.55,15,1.191038
590.05,60,1.217906
662.25,60,1.245581
326.45,60,1.273734
735.35,60,1.301809
-163.8,10,1.305404
629.75,60,1.333211
588.0,60,1.358643
652.05,60,1.387467
77.8,60,1.416032
751.7,60,1.445216
89.0,60,1.478222
738.0,60,1.510543
349.2,60,1.5449
889.2,60,1.574099
591.95,60,1.605105
-179.95,17,1.614781
801.55,60,1.6487
706.8,60,1.679285
887.05,60,1.711693
468.6,60,1.745401
595.5,60,1.78419
-154.05,34,1.808574
-156.1,16,1.817706
387.2,60,1.853566
722.95,60,1.885275
933.45,60,1.917869
30.25,60,1.952863
694.65,60,1.987906
-153.45,8,1.993738
