#{"t_start": 1784589028.4616606, "env_id": "None"}
r,l,t
794.8,60,0.00897
313.4,60,0.014742
592.95,60,0.020269
630.7,60,0.025771
94.05,60,0.031346
497.65,60,0.037911
666.95,60,0.044221
38.05,60,0.050363
526.0,60,0.057532
243.35,60,0.064153
610.65,60,0.070637
476.3,60,0.076395
764.4,60,0.083742
699.95,60,0.089731
763.2,60,0.09539
827.05,60,0.102648
507.45,60,0.116117
162.0,60,0.142083
2.3,60,0.168279
796.35,60,0.191829
172.9,60,0.214998
376.5,60,0.242647
501.9,60,0.270248
345.75,60,0.295824
122.25,60,0.32358
270.95,60,0.351167
702.4,60,0.378545
381.55,60,0.407029
555.1,60,0.436023
338.85,60,0.464222
226.0,60,0.492136
178.25,60,0.51888
649.55,60,0.54596
347.9,60,0.573489
321.7,60,0.599926
291.35,60,0.626202
427.35,60,0.653915
-151.85,27,0.666099
429.9,60,0.691179
-162.8,3,0.692879
736.95,60,0.717815
-195.65,17,0.72542
623.7,60,0.755234
339.25,60,0.781912
337.5,60,0.807344
661.1,60,0.834187
522.95,60,0.861946
525.75,60,0.888964
109.2,60,0.914606
394.85,60,0.937681
-154.95,8,0.94153
474.4,60,0.970341
473.0,60,0.998804
355.5,60,1.028312
381.85,60,1.057453
287.65,60,1.085272
625.1,60,1.113381
5.05,60,1.139674
370.2,60,1.169568
779.05,60,1.198538
-154.9,39,1.217532
389.05,60,1.244661
653.7,60,1.274945
951.1,60,1.299121
435.65,60,1.323765
764.65,60,1.350096
970.1,60,1.375229
785.45,60,1.403752
479.1,60,1.427634
442.0,60,1.453186
651.25,60,1.480475
777.25,60,1.505667
782.6,60,1.533965
1038.6,60,1.564276
955.45,60,1.593439
784.85,60,1.620035
724.35,60,1.646409
551.7,60,1.67577
135.85,60,1.704209
352.35,60,1.731924
521.25,60,1.759091
1134.7,60,1.784699
715.7,60,1.811767
-165.3,26,1.822498
982.35,60,1.847273
461.2,60,1.873676
889.4,60,1.900339
688.5,60,1.927396
1075.8,60,1.955538
554.7,60,1.981647
359.75,60,2.007523
592.6,60,2.032537
962.0,60,2.060945
605.7,60,2.090565
1215.4,60,2.122338
870.15,60,2.153342
886.45,60,2.183302
-159.0,6,2.18689
656.75,60,2.214022
-182.5,9,2.218045
616.3,60,2.245126
825.9,60,2.276452
971.2,60,2.30377
933.65,60,2.329837
664.3,60,2.357985
125.3,60,2.385979
684.9,60,2.411262
-157.2,29,2.423521
799.8,60,2.451429
-150.3,9,2.457303
901.8,60,2.486923
629.45,60,2.514853
-168.05,17,2.521789
763.85,60,2.546689
-150.3,9,2.551042
856.5,60,2.580064
-150.25,10,2.585779
-168.7,21,2.596082
898.8,60,2.623741
-153.95,19,2.632132
876.75,60,2.661239
283.9,60,2.690326
-18.85,60,2.720567
1082.25,60,2.74697
739.2,60,2.77692
127.0,60,2.805894
964.85,60,2.83584
678.1,60,2.863339
664.4,60,2.890902
880.1,60,2.919708
1042.25,60,2.949316
740.85,60,2.978405
-152.65,11,2.98316
805.25,60,3.01299
1263.75,60,3.042381
853.5,60,3.068652
1344.0,60,3.101135
-156.8,18,3.110841
-160.75,28,3.124649
940.8,60,3.151767
962.8,60,3.18443
872.8,60,3.215177
650.7,60,3.2449
923.45,60,3.273287
850.7,60,3.304932
561.7,60,3.33458
1147.25,60,3.36632
-150.05,18,3.375522
357.7,60,3.407333
-170.3,54,3.436051
995.05,60,3.467495
959.7,60,3.499049
848.25,60,3.531109
183.45,60,3.558805
868.25,60,3.589494
450.5,60,3.618418
972.25,60,3.646311
729.6,60,3.67861
-185.35,20,3.689196
-161.75,14,3.695548
507.35,60,3.721763
971.95,60,3.748844
729.8,60,3.777605
47.05,60,3.805971
-150.5,11,3.812301
-161.5,12,3.818912
310.8,60,3.849805
1254.95,60,3.877847
-174.85,19,3.887125
82.75,60,3.91586
1133.75,60,3.944757
450.0,60,3.976782
664.2,60,4.00571
-152.7,7,4.009222
992.8,60,4.036999
686.65,60,4.06338
-158.4,10,4.067973
-195.9,14,4.075732
-201.35,12,4.081233
-191.15,41,4.10231
258.7,60,4.134839
283.05,60,4.164993
952.2,60,4.198456
919.2,60,4.228608
-60.8,60,4.26073
616.35,60,4.291403
1068.05,60,4.321252
-8.75,60,4.352121
769.05,60,4.381208
-154.2,7,4.385403
384.4,60,4.416644
1135.35,60,4.446036
905.15,60,4.477433
-151.9,40,4.498135
-158.4,24,4.511085
634.6,60,4.539463
-162.8,19,4.54751
579.65,60,4.575861
1230.4,60,4.606126
1111.1,60,4.637055
698.55,60,4.665773
877.5,60,4.695914
787.75,60,4.722665
1035.55,60,4.753234
863.1,60,4.783311
1136.1,60,4.814169
-156.0,9,4.819117
795.5,60,4.851284
1422.5,60,4.883211
-158.1,12,4.889773
435.2,60,4.922041
284.75,60,4.950876
413.0,60,4.980364
972.4,60,5.010016
-154.75,8,5.014348
861.6,60,5.045757
-178.45,27,5.058985
-152.25,42,5.08196
848.25,60,5.115266
916.75,60,5.14819
-188.5,55,5.180538
1097.35,60,5.212591
-163.85,6,5.215311
1102.35,60,5.247088
700.8,60,5.282234
870.0,60,5.311312
222.85,60,5.340866
-153.4,16,5.348464
-175.65,56,5.376266
1200.1,60,5.407304
785.95,60,5.437029
-152.8,10,5.443073
1103.4,60,5.474289
185.5,60,5.506575
-175.0,19,5.515069
-164.15,11,5.520503
935.15,60,5.551183
564.95,60,5.582926
548.95,60,5.615398
492.25,60,5.644232
791.2,60,5.675987
453.85,60,5.708882
-155.35,47,5.734852
227.2,60,5.767387
447.7,60,5.800105
-157.45,36,5.81812
1040.25,60,5.850669
834.85,60,5.882985
-153.05,14,5.890387
583.05,60,5.919262
-172.2,8,5.922995
745.2,60,5.954358
57.8,60,5.9879
523.1,60,6.019289
470.95,60,6.049629
1018.95,60,6.082876
638.75,60,6.115072
1048.9,60,6.143663
1325.65,60,6.173987
1032.9,60,6.207417
102.25,60,6.235505
654.15,60,6.267074
1173.25,60,6.29932
625.05,60,6.329403
1043.55,60,6.359376
1013.35,60,6.393527
18.1,60,6.424594
-175.55,24,6.438081
-161.85,16,6.446735
209.35,60,6.478837
863.45,60,6.511431
809.3,60,6.543916
-154.1,49,6.570602
988.4,60,6.603183
1103.35,60,6.635738
974.8,60,6.667554
431.0,60,6.701535
690.35,60,6.733228
353.3,60,6.767777
-196.05,16,6.776987
911.65,60,6.812282
607.05,60,6.846343
-152.6,56,6.879311
877.35,60,6.913964
338.25,60,6.947989
258.15,60,6.985745
-150.4,18,6.996105
475.0,60,7.031899
521.55,60,7.065389
325.45,60,7.096082
947.65,60,7.129385
-161.3,18,7.139717
675.7,60,7.169923
161.95,60,7.206997
996.9,60,7.241855
120.8,60,7.276376
333.0,60,7.309276
509.1,60,7.342193
914.3,60,7.37698
234.35,60,7.412119
924.2,60,7.446832
354.3,60,7.480991
483.65,60,7.516173
466.25,60,7.548698
405.05,60,7.579286
586.25,60,7.61175
798.05,60,7.64719
290.95,60,7.682176
248.75,60,7.71759
695.35,60,7.751342
457.75,60,7.786456
793.75,60,7.821608
538.5,60,7.857135
55.15,60,7.892218
540.1,60,7.925169
770.0,60,7.960029
-169.9,25,7.97442
-158.5,16,7.983942
511.35,60,8.018795
-177.5,13,8.025457
133.55,60,8.060242
-168.0,9,8.065448
-158.8,15,8.074807
59.7,60,8.109857
618.4,60,8.146178
972.7,60,8.178503
-161.05,14,8.186106
278.35,60,8.22225
662.85,60,8.258289
105.0,60,8.291371
199.75,60,8.324413
328.2,60,8.356946
505.45,60,8.391505
83.7,60,8.426251
152.5,60,8.460239
674.95,60,8.491486
1099.65,60,8.522893
790.85,60,8.55785
435.9,60,8.592965
404.05,60,8.629306
104.5,60,8.663561
661.6,60,8.698774
576.4,60,8.735095
346.45,60,8.769632
484.8,60,8.806186
62.0,60,8.841095
898.0,60,8.873047
43.05,60,8.908121
24.5,60,8.942982
967.8,60,8.977884
754.7,60,9.012927
723.15,60,9.04464
-21.1,60,9.075732
615.45,60,9.109102
614.6,60,9.142586
-172.0,11,9.147474
-152.0,6,9.151273
-170.5,11,9.157094
-164.0,8,9.161836
378.45,60,9.192065
1220.85,60,9.227734
917.0,60,9.263315
43.05,60,9.295916
619.75,60,9.326758
-0.35,60,9.358664
-200.0,10,9.364045
-158.0,13,9.371246
548.25,60,9.405707
1216.4,60,9.44035
1051.75,60,9.471599
405.65,60,9.506202
289.45,60,9.540919
771.9,60,9.575162
731.7,60,9.60551
602.55,60,9.636659
614.5,60,9.671023
487.9,60,9.701126
942.95,60,9.735153
256.5,60,9.769212
371.8,60,9.803464
1148.0,60,9.837428
581.1,60,9.871266
324.15,60,9.906495
1045.3,60,9.94187
887.4,60,9.976275
929.0,60,10.007702
874.35,60,10.044734
728.7,60,10.079455
-154.5,20,10.089665
456.45,60,10.124691
793.25,60,10.157918
1001.55,60,10.189907
600.4,60,10.223057
842.1,60,10.255548
445.8,60,10.287357
175.7,60,10.321244
815.9,60,10.354506
165.9,60,10.386013
1081.05,60,10.418563
291.65,60,10.449831
