total_reward,days_survived,service_level,waste_total,stockout_total,final_cash,bankrupt,agent,train_seed,eval_seed
377.6,60,0.6096196868008948,0,349,427.59999999999997,False,Random,0,100
352.1000000000001,60,0.568359375,0,442,402.1,False,Random,0,101
819.1999999999999,60,0.9646302250803859,16,22,869.1999999999999,False,Random,0,102
-150.25,6,0.8484848484848485,11,5,-80.25,True,Random,0,103
655.35,60,0.684449489216799,0,278,705.3500000000001,False,Random,0,104
623.9499999999999,60,0.716710182767624,0,217,673.9499999999999,False,Random,0,105
701.8499999999997,60,0.7802340702210663,0,169,751.8499999999998,False,Random,0,106
912.8999999999997,60,0.8559670781893004,0,105,962.8999999999997,False,Random,0,107
645.65,60,0.7395973154362416,0,194,695.6500000000001,False,Random,0,108
697.25,60,0.8005540166204986,0,144,747.25,False,Random,0,109
1283.3999999999996,60,0.897891231964484,0,92,1333.3999999999999,False,Heuristic,0,100
1285.4999999999995,60,0.8623046875,0,141,1335.4999999999995,False,Heuristic,0,101
826.6000000000001,60,0.8798076923076923,0,75,876.6000000000001,False,Heuristic,0,102
527.55,60,0.7840531561461794,12,130,577.5500000000001,False,Heuristic,0,103
1147.6000000000004,60,0.875,0,108,1197.6000000000004,False,Heuristic,0,104
1022.9500000000003,60,0.8643031784841075,0,111,1072.9500000000003,False,Heuristic,0,105
941.3499999999998,60,0.8385876418663304,0,128,991.3499999999998,False,Heuristic,0,106
1068.1499999999999,60,0.8748451053283767,0,101,1118.15,False,Heuristic,0,107
1043.85,60,0.9149232914923291,0,61,1093.85,False,Heuristic,0,108
762.0500000000002,60,0.8233731739707836,8,133,812.0500000000002,False,Heuristic,0,109
1387.6499999999999,60,0.9254237288135593,0,66,1437.6499999999999,False,PPO,0,100
982.8499999999999,60,0.7607421875,0,245,1032.85,False,PPO,0,101
360.0500000000002,60,0.9822580645161291,35,11,410.0500000000002,False,PPO,0,102
-152.0,9,0.9,14,5,-82.0,True,PPO,0,103
1188.0500000000002,60,0.8269824922760041,0,168,1238.0500000000002,False,PPO,0,104
1002.6000000000001,60,0.935361216730038,0,51,1052.6000000000001,False,PPO,0,105
985.25,60,0.9458762886597938,6,42,1035.25,False,PPO,0,106
1185.85,60,0.9809402795425667,4,15,1235.85,False,PPO,0,107
755.5,60,0.9799713876967096,10,14,805.4999999999999,False,PPO,0,108
896.55,60,0.9265463917525774,0,57,946.55,False,PPO,0,109
868.4500000000002,60,0.7401129943502824,0,230,918.45,False,PPO,1,100
489.1000000000001,60,0.6123046875,0,397,539.1000000000001,False,PPO,1,101
834.45,60,0.9822580645161291,10,11,884.45,False,PPO,1,102
536.4499999999998,60,0.9690721649484536,46,18,586.4499999999999,False,PPO,1,103
729.8000000000002,60,0.6725025746652935,0,318,779.8000000000002,False,PPO,1,104
811.6499999999999,60,0.788339670468948,0,167,861.6499999999999,False,PPO,1,105
933.55,60,0.8286082474226805,0,133,983.55,False,PPO,1,106
995.8500000000001,60,0.8348157560355781,0,130,1045.8500000000004,False,PPO,1,107
1074.9999999999998,60,0.9298998569384835,0,49,1124.9999999999998,False,PPO,1,108
833.2000000000003,60,0.8067010309278351,0,150,883.2000000000003,False,PPO,1,109
1084.65,60,0.8135593220338984,0,165,1134.65,False,PPO,2,100
678.4,60,0.66796875,0,340,728.4,False,PPO,2,101
634.6999999999999,60,0.9822580645161291,24,11,684.6999999999999,False,PPO,2,102
435.80000000000007,60,0.9810996563573883,55,11,485.80000000000007,False,PPO,2,103
917.3000000000001,60,0.7342945417095778,0,258,967.3000000000001,False,PPO,2,104
