#{"t_start": 1784588813.692571, "env_id": "None"}
r,l,t
573.35,60,0.028909
277.2,60,0.054682
880.75,60,0.083644
753.3,60,0.111328
-206.3,11,0.117194
509.3,60,0.14052
839.55,60,0.163981
233.8,60,0.190569
630.85,60,0.216499
744.35,60,0.242462
174.35,60,0.268802
353.8,60,0.292808
643.85,60,0.317241
836.05,60,0.340715
656.4,60,0.365575
572.9,60,0.388832
507.15,60,0.412286
496.9,60,0.513298
704.8,60,0.53789
689.7,60,0.564772
648.3,60,0.590962
847.95,60,0.61776
624.9,60,0.644419
541.2,60,0.673442
601.3,60,0.701457
717.95,60,0.725883
429.85,60,0.74992
565.45,60,0.7757
402.35,60,0.800159
713.9,60,0.82431
882.8,60,0.84905
623.45,60,0.875395
520.1,60,0.903126
523.8,60,0.929904
84.6,60,1.057159
728.85,60,1.085082
769.45,60,1.112246
540.05,60,1.139974
703.6,60,1.1706
358.0,60,1.199356
694.7,60,1.227994
301.15,60,1.256181
624.35,60,1.281048
676.45,60,1.306857
801.3,60,1.335383
653.45,60,1.362498
927.2,60,1.389315
205.95,60,1.416617
641.6,60,1.441946
-155.5,8,1.445344
895.95,60,1.472533
869.45,60,1.499294
873.25,60,1.618937
676.2,60,1.64679
549.75,60,1.672032
356.6,60,1.696017
722.65,60,1.721393
351.0,60,1.749485
609.0,60,1.776516
506.75,60,1.804759
-151.5,5,1.807315
529.55,60,1.832946
-156.3,8,1.836481
450.7,60,1.86177
836.65,60,1.890033
721.9,60,1.916113
774.25,60,1.942308
37.05,60,1.968825
772.7,60,1.993093
328.95,60,2.020932
584.6,60,2.048882
834.0,60,2.167099
511.1,60,2.19296
639.0,60,2.216885
423.55,60,2.241337
499.4,60,2.270454
342.3,60,2.298
755.2,60,2.324454
598.75,60,2.351716
529.7,60,2.376357
657.05,60,2.405516
638.1,60,2.432464
700.55,60,2.459181
809.8,60,2.485878
816.35,60,2.512659
525.55,60,2.538945
797.0,60,2.566326
273.85,60,2.5956
-154.7,27,2.607225
350.25,60,2.72734
657.0,60,2.756873
726.3,60,2.78708
825.85,60,2.815109
352.5,60,2.843085
-157.95,7,2.846605
453.35,60,2.876087
435.95,60,2.904539
0.75,60,2.929326
611.55,60,2.954545
431.0,60,2.980628
418.7,60,3.00558
740.85,60,3.031332
299.5,60,3.059549
197.1,60,3.085194
636.9,60,3.109837
36.1,60,3.134612
245.9,60,3.158575
993.2,60,3.256326
516.45,60,3.28268
87.0,60,3.308475
-159.6,25,3.319455
593.95,60,3.343154
502.6,60,3.369306
-162.0,2,3.370442
30.5,60,3.398357
786.2,60,3.423909
487.3,60,3.448164
516.5,60,3.472471
574.5,60,3.49626
923.2,60,3.520072
757.75,60,3.544905
588.55,60,3.571204
415.75,60,3.597235
