#{"t_start": 1784589286.8223758, "env_id": "None"}
r,l,t
416.7,60,0.085772
869.35,60,0.169553
496.25,60,0.250936
530.0,60,0.330683
666.05,60,0.410931
532.9,60,0.493118
246.6,60,0.57595
75.7,60,0.66223
744.3,60,0.753206
673.35,60,0.835816
523.05,60,0.915426
920.75,60,0.990138
574.75,60,1.072624
-121.9,60,1.160785
762.2,60,1.245636
113.7,60,1.327587
336.9,60,1.416213
769.85,60,1.659328
655.35,60,1.746275
332.3,60,1.827052
669.75,60,1.913529
709.15,60,1.995143
658.9,60,2.06835
359.3,60,2.153085
973.05,60,2.240295
605.9,60,2.316174
843.45,60,2.391171
553.35,60,2.477548
647.95,60,2.557945
716.75,60,2.633143
495.7,60,2.714458
657.1,60,2.797805
569.3,60,2.875832
695.1,60,2.958361
233.25,60,3.199897
-165.45,31,3.24239
-47.4,60,3.318368
1049.1,60,3.392957
817.6,60,3.481388
798.0,60,3.561125
620.1,60,3.641328
-183.0,6,3.649378
475.45,60,3.739879
576.65,60,3.818627
730.8,60,3.892673
-32.9,60,3.965192
188.45,60,4.039811
863.3,60,4.121589
679.65,60,4.205765
-181.05,14,4.224604
655.2,60,4.305937
401.25,60,4.381622
745.2,60,4.463963
-162.05,48,4.69011
851.75,60,4.776158
364.9,60,4.85197
248.55,60,4.927087
279.0,60,5.009734
-158.65,33,5.058984
715.45,60,5.13553
566.35,60,5.217081
255.8,60,5.294059
443.05,60,5.383796
847.25,60,5.466688
291.1,60,5.542462
694.8,60,5.622891
726.3,60,5.702884
337.8,60,5.788545
797.7,60,5.864411
563.35,60,5.944688
194.6,60,6.02284
582.75,60,6.269249
241.9,60,6.353634
459.65,60,6.433069
971.6,60,6.512259
-173.3,34,6.555409
717.6,60,6.633837
630.2,60,6.721043
4.55,60,6.814619
307.0,60,6.892949
283.2,60,6.969392
570.6,60,7.045355
875.0,60,7.118801
640.9,60,7.222502
478.5,60,7.297381
757.7,60,7.376315
684.2,60,7.453406
757.15,60,7.528807
498.5,60,7.776919
789.05,60,7.85266
189.95,60,7.930457
676.65,60,8.018326
345.5,60,8.097732
732.05,60,8.181884
854.35,60,8.264192
599.7,60,8.343624
477.15,60,8.417817
574.55,60,8.501122
797.1,60,8.591004
524.75,60,8.68943
627.7,60,8.776057
748.15,60,8.852336
582.1,60,8.927642
394.3,60,9.018109
-177.65,12,9.033742
662.4,60,9.113357
-167.55,13,9.128476
-15.85,60,9.368426
502.45,60,9.444358
802.25,60,9.518675
893.2,60,9.599008
497.05,60,9.676936
702.8,60,9.759467
620.1,60,9.852399
411.6,60,9.927917
770.25,60,10.008769
-159.95,11,10.026801
645.9,60,10.113022
787.8,60,10.189769
565.4,60,10.281564
681.3,60,10.361004
654.4,60,10.438237
745.95,60,10.518334
40.25,60,10.60998
136.3,60,10.691175
526.75,60,10.946407
-176.3,33,10.992184
664.0,60,11.066617
151.35,60,11.153902
454.95,60,11.244381
570.35,60,11.324929
724.55,60,11.400875
551.9,60,11.485491
535.65,60,11.560885
499.9,60,11.649493
704.6,60,11.732379
604.65,60,11.820611
606.4,60,11.90594
-150.5,2,11.908828
390.3,60,11.99405
467.1,60,12.071937
494.1,60,12.157169
711.2,60,12.239309
661.15,60,12.475909
666.15,60,12.554832
686.1,60,12.630399
733.8,60,12.707695
