#{"t_start": 1784589195.4965875, "env_id": "None"}
r,l,t
902.95,60,0.082917
545.25,60,0.186214
575.65,60,0.288399
507.15,60,0.368254
728.8,60,0.450366
529.2,60,0.532412
204.75,60,0.610401
550.9,60,0.699898
156.6,60,0.784019
604.7,60,0.866829
617.45,60,0.951024
430.15,60,1.038089
-163.95,13,1.053475
495.3,60,1.133707
813.25,60,1.208513
-156.0,4,1.214964
778.4,60,1.288423
-172.7,17,1.311914
498.95,60,1.388341
754.95,60,1.68531
537.4,60,1.788535
845.6,60,1.889946
573.45,60,1.992728
211.35,60,2.08674
300.65,60,2.174964
455.3,60,2.258869
564.45,60,2.344259
370.45,60,2.427608
530.2,60,2.50711
370.65,60,2.592607
688.2,60,2.701615
655.85,60,2.815509
552.25,60,2.919963
583.9,60,3.00969
757.05,60,3.087899
640.9,60,3.169963
239.6,60,3.415285
425.9,60,3.493787
719.8,60,3.581215
586.2,60,3.661357
780.4,60,3.74755
781.2,60,3.826629
114.5,60,3.914865
-186.1,27,3.951928
651.0,60,4.034511
550.4,60,4.132624
540.15,60,4.2389
626.85,60,4.340223
353.05,60,4.420584
554.3,60,4.509054
421.6,60,4.593214
579.4,60,4.681821
562.35,60,4.764732
630.15,60,4.846536
176.65,60,5.122443
661.65,60,5.209204
343.65,60,5.288088
576.7,60,5.368289
421.85,60,5.453044
810.55,60,5.541375
576.65,60,5.621522
565.15,60,5.707626
242.6,60,5.785418
524.35,60,5.867407
605.75,60,5.946911
734.25,60,6.024607
495.75,60,6.106721
560.75,60,6.206805
730.4,60,6.285211
-164.25,27,6.31965
324.35,60,6.394166
518.55,60,6.634876
908.15,60,6.716211
626.8,60,6.791095
384.85,60,6.870254
673.7,60,6.946111
650.2,60,7.023359
693.8,60,7.104583
547.55,60,7.190339
777.55,60,7.272911
808.95,60,7.350212
747.95,60,7.427546
884.65,60,7.509578
755.4,60,7.592779
655.7,60,7.674564
946.65,60,7.757536
399.7,60,7.834728
828.95,60,7.910524
632.35,60,8.142547
472.9,60,8.217282
651.5,60,8.298023
736.9,60,8.372427
422.05,60,8.444597
551.9,60,8.528734
348.7,60,8.611443
187.15,60,8.694324
893.2,60,8.770357
3.95,60,8.849658
517.9,60,8.924242
-163.0,11,8.938932
843.9,60,9.016564
903.3,60,9.092927
565.0,60,9.16982
570.25,60,9.244578
602.55,60,9.323569
470.35,60,9.403985
81.15,60,9.636964
167.95,60,9.719192
85.6,60,9.791207
285.15,60,9.865665
-163.5,8,9.878118
579.6,60,9.954667
647.15,60,10.028649
471.45,60,10.104725
581.75,60,10.183786
372.2,60,10.258528
819.9,60,10.334895
456.45,60,10.40865
668.9,60,10.491772
683.35,60,10.573205
494.0,60,10.648338
512.2,60,10.732074
-181.45,8,10.741777
322.6,60,10.81609
729.25,60,10.891947
774.6,60,11.126
153.45,60,11.201373
-168.65,9,11.212159
731.05,60,11.287013
671.25,60,11.364559
612.5,60,11.439902
688.95,60,11.517369
453.5,60,11.598375
559.25,60,11.677269
699.45,60,11.755222
691.75,60,11.82857
619.25,60,11.905365
662.7,60,11.981107
716.75,60,12.058089
621.9,60,12.137095
826.45,60,12.211906
607.95,60,12.288136
554.9,60,12.36487
-158.7,29,12.565407
143.35,60,12.648131
-152.5,5,12.654498
649.75,60,12.740451
-171.3,26,12.775233
548.6,60,12.853403
102.5,60,12.928506
652.15,60,13.006857
839.55,60,13.081829
432.6,60,13.167188
529.45,60,13.241735
616.85,60,13.320157
-22.55,60,13.401464
377.6,60,13.478664
-161.0,5,13.48499
-157.0,6,13.492551
835.25,60,13.574808
103.85,60,13.65779
641.9,60,13.757005
539.8,60,13.833246
644.3,60,13.912691
609.5,60,14.144635
652.1,60,14.221494
655.15,60,14.304559
223.4,60,14.381707
637.5,60,14.455974
124.75,60,14.546487
548.25,60,14.6228
483.55,60,14.705671
678.2,60,14.785336
618.35,60,14.865409
178.2,60,14.941533
570.65,60,15.021662
857.25,60,15.099947
-24.85,60,15.176353
406.25,60,15.252333
208.35,60,15.332256
775.45,60,15.411015
545.4,60,15.662398
713.45,60,15.744403
623.65,60,15.822911
555.45,60,15.904602
624.2,60,15.982673
525.75,60,16.059373
664.95,60,16.139491
475.4,60,16.217707
679.7,60,16.298341
74.75,60,16.391134
388.9,60,16.490165
587.3,60,16.586084
648.25,60,16.665136
610.0,60,16.747176
684.05,60,16.823015
410.6,60,16.916181
-13.45,60,17.011154
-158.05,49,17.281691
165.8,60,17.381871
144.95,60,17.466793
-157.65,13,17.484002
621.55,60,17.568479
585.3,60,17.649386
473.2,60,17.733943
734.95,60,17.810458
758.45,60,17.894568
-162.55,44,17.972011
472.2,60,18.066138
538.0,60,18.159431
320.45,60,18.240573
720.3,60,18.315869
632.7,60,18.392308
486.95,60,18.475677
-172.4,31,18.515756
462.05,60,18.617071
336.2,60,18.719887
462.6,60,18.980904
537.8,60,19.066197
430.95,60,19.153074
829.9,60,19.23897
550.95,60,19.328522
605.8,60,19.434331
744.7,60,19.534074
364.75,60,19.621948
584.0,60,19.709516
698.95,60,19.791559
343.6,60,19.869066
539.1,60,19.950684
-179.1,54,20.020295
117.35,60,20.098927
626.25,60,20.181501
635.75,60,20.258719
590.7,60,20.338048
-170.15,10,20.350581
544.4,60,20.588484
728.2,60,20.669541
897.4,60,20.753649
674.25,60,20.833229
973.95,60,20.918164
-169.95,24,20.951486
864.45,60,21.027807
811.95,60,21.106783
368.05,60,21.17996
439.7,60,21.260366
313.95,60,21.342279
557.15,60,21.417119
509.75,60,21.493379
691.1,60,21.574145
-151.0,11,21.58726
471.35,60,21.671548
616.35,60,21.758426
747.8,60,21.84033
567.3,60,22.077806
742.5,60,22.153895
450.5,60,22.236638
-169.55,6,22.243838
647.05,60,22.322159
931.55,60,22.404618
-162.65,16,22.423466
722.7,60,22.501625
-167.0,6,22.509021
879.4,60,22.588581
660.5,60,22.667998
382.25,60,22.752567
713.55,60,22.831979
801.75,60,22.913001
633.3,60,22.989612
331.4,60,23.065658
645.4,60,23.142981
636.4,60,23.216774
610.2,60,23.292708
761.15,60,23.369917
725.1,60,23.60824
323.0,60,23.690766
959.8,60,23.7748
904.35,60,23.851357
735.85,60,23.92641
910.85,60,24.017934
326.65,60,24.10749
651.55,60,24.18459
776.15,60,24.259994
444.5,60,24.344448
107.1,60,24.431902
-0.65,60,24.507352
558.45,60,24.589395
237.65,60,24.666947
616.15,60,24.751187
497.7,60,24.832901
901.85,60,24.920495
571.95,60,25.164572
701.9,60,25.243248
194.95,60,25.328357
35.45,60,25.405301
424.55,60,25.480788
580.05,60,25.568228
570.75,60,25.650593
-163.7,28,25.697349
534.25,60,25.779436
544.25,60,25.860423
113.45,60,25.942163
780.35,60,26.027174
745.5,60,26.109401
449.75,60,26.184753
369.0,60,26.272238
568.95,60,26.35357
786.0,60,26.428798
393.35,60,26.509491
879.0,60,26.813125
787.45,60,26.901034
494.75,60,26.986431
763.15,60,27.069136
-153.5,57,27.143809
748.25,60,27.226165
374.5,60,27.309765
334.3,60,27.386334
647.25,60,27.471776
402.25,60,27.553634
370.7,60,27.644156
632.95,60,27.731387
447.9,60,27.806872
852.1,60,27.890729
698.65,60,27.974689
-159.0,4,27.979859
-174.25,23,28.009075
158.9,60,28.084418
837.6,60,28.313559
710.55,60,28.414704
358.1,60,28.493252
-152.65,30,28.540121
692.75,60,28.616399
781.75,60,28.703948
748.75,60,28.785468
547.8,60,28.867937
-161.7,15,28.886446
316.2,60,28.973153
595.05,60,29.050314
-163.85,15,29.072968
678.85,60,29.149627
280.15,60,29.224869
766.2,60,29.307084
743.1,60,29.391679
-154.4,17,29.414746
458.45,60,29.497836
416.65,60,29.579042
628.3,60,29.653871
513.05,60,29.909599
492.75,60,29.991022
239.35,60,30.076012
552.55,60,30.155706
769.55,60,30.239089
188.2,60,30.321307
281.75,60,30.406095
850.3,60,30.485678
677.7,60,30.590546
391.35,60,30.676066
764.6,60,30.760029
494.1,60,30.843321
552.0,60,30.924379
922.5,60,31.024019
334.95,60,31.130971
362.4,60,31.235584
-151.3,37,31.289107
759.8,60,31.537209
-153.15,29,31.577179
517.15,60,31.655746
355.9,60,31.746906
507.85,60,31.831583
947.05,60,31.907176
83.15,60,31.987949
607.25,60,32.068375
628.6,60,32.149446
742.1,60,32.235191
802.4,60,32.318652
949.8,60,32.402417
596.75,60,32.51014
728.3,60,32.624377
806.1,60,32.74673
450.6,60,32.853911
-161.55,6,32.866756
488.05,60,32.982527
898.45,60,33.060463
313.45,60,33.292432
514.15,60,33.3811
938.25,60,33.480336
702.6,60,33.579527
573.6,60,33.676799
462.25,60,33.777479
506.4,60,33.879096
-153.75,32,33.927165
589.35,60,34.019404
598.95,60,34.105108
642.25,60,34.187134
489.6,60,34.262222
1051.8,60,34.350874
356.7,60,34.44268
841.95,60,34.526304
734.65,60,34.603199
639.5,60,34.678791
742.65,60,34.913869
641.1,60,34.994459
324.4,60,35.07292
632.8,60,35.151134
551.55,60,35.233664
804.85,60,35.30949
623.5,60,35.38274
769.95,60,35.464106
626.85,60,35.544199
-180.75,21,35.57163
-171.5,24,35.603117
621.05,60,35.684293
-151.85,25,35.7201
868.95,60,35.825438
799.65,60,35.923228
764.1,60,36.017671
570.4,60,36.112121
813.0,60,36.192118
621.3,60,36.277048
520.5,60,36.512374
688.15,60,36.591755
636.35,60,36.674152
732.45,60,36.751342
77.25,60,36.832793
554.05,60,36.907467
775.6,60,36.982601
39.0,60,37.056221
643.45,60,37.13666
586.35,60,37.214732
158.7,60,37.297516
572.6,60,37.379937
551.85,60,37.465214
144.5,60,37.552708
696.4,60,37.632856
578.0,60,37.708538
383.05,60,37.795047
331.85,60,38.049487
765.1,60,38.135611
614.8,60,38.21506
545.85,60,38.303203
263.1,60,38.384721
450.5,60,38.474685
667.75,60,38.558928
513.75,60,38.640924
460.05,60,38.7204
730.75,60,38.813467
908.55,60,38.89487
637.65,60,38.974839
748.6,60,39.066541
333.2,60,39.145324
614.0,60,39.219442
522.7,60,39.299005
639.95,60,39.385532
603.4,60,39.631361
710.6,60,39.713091
533.75,60,39.799158
385.75,60,39.87717
755.4,60,39.960078
725.1,60,40.04628
637.15,60,40.120405
280.35,60,40.205005
821.0,60,40.285982
602.7,60,40.3758
649.6,60,40.453793
751.3,60,40.535073
944.1,60,40.614218
709.3,60,40.700963
-184.5,17,40.72454
739.45,60,40.811234
522.0,60,40.898196
356.5,60,40.979865
333.45,60,41.208108
652.9,60,41.284922
573.35,60,41.3647
194.25,60,41.475214
997.2,60,41.548037
211.75,60,41.62217
921.1,60,41.700896
837.3,60,41.782609
818.9,60,41.8579
753.2,60,41.929507
966.75,60,42.013285
905.2,60,42.091683
1097.95,60,42.161563
415.35,60,42.248941
725.6,60,42.328532
871.5,60,42.4146
682.4,60,42.508842
-168.7,14,42.526676
-153.5,4,42.532783
787.4,60,42.779963
-156.65,34,42.821454
617.15,60,42.894998
-20.7,60,42.974804
597.3,60,43.05045
234.65,60,43.143349
880.2,60,43.222
373.35,60,43.303082
-155.6,33,43.346203
737.3,60,43.4198
671.0,60,43.4889
193.3,60,43.558311
726.25,60,43.630781
608.45,60,43.700442
-171.95,9,43.710793
735.5,60,43.789507
764.65,60,43.870238
608.25,60,43.956445
865.9,60,44.031438
-161.3,42,44.231317
17.5,60,44.298521
600.6,60,44.389371
611.5,60,44.465936
-65.7,60,44.543643
162.9,60,44.630077
535.95,60,44.71159
567.5,60,44.789242
734.5,60,44.856974
-175.95,39,44.901817
236.05,60,44.980254
578.8,60,45.048025
744.8,60,45.116502
813.05,60,45.187943
489.75,60,45.25754
692.65,60,45.325409
609.05,60,45.398207
810.5,60,45.473198
365.2,60,45.707304
771.15,60,45.782124
791.25,60,45.851532
531.65,60,45.917739
897.3,60,45.987655
463.05,60,46.055858
607.45,60,46.12537
453.45,60,46.193612
-172.15,38,46.239588
-157.85,19,46.260258
607.15,60,46.33004
-156.65,11,46.342266
809.25,60,46.409562
546.05,60,46.479016
687.8,60,46.547919
-150.35,30,46.582238
84.35,60,46.651398
630.7,60,46.721239
678.7,60,46.795083
-156.0,4,46.800847
110.6,60,47.032918
654.95,60,47.114041
964.25,60,47.191126
467.05,60,47.273459
636.85,60,47.366379
517.45,60,47.456664
770.6,60,47.540229
640.8,60,47.612939
379.6,60,47.687181
461.6,60,47.759677
-170.75,10,47.775719
648.35,60,47.851365
894.4,60,47.923028
417.15,60,47.996598
860.65,60,48.067382
836.0,60,48.140529
-177.4,45,48.192275
748.55,60,48.264702
761.35,60,48.482917
399.8,60,48.556812
-194.0,23,48.584593
79.25,60,48.654615
294.95,60,48.730781
205.9,60,48.813473
465.0,60,48.886242
131.3,60,48.964532
850.25,60,49.03838
938.35,60,49.113602
694.9,60,49.18717
875.55,60,49.266828
732.8,60,49.340791
638.65,60,49.41665
523.35,60,49.490901
641.65,60,49.570573
218.4,60,49.648342
586.35,60,49.727328
381.85,60,49.976739
650.65,60,50.051475
284.9,60,50.125738
-157.45,60,50.201874
-156.0,16,50.221135
860.05,60,50.297991
526.35,60,50.3745
243.0,60,50.450761
739.5,60,50.531121
329.5,60,50.623969
270.0,60,50.724191
806.3,60,50.817854
515.1,60,50.921966
740.8,60,51.004445
160.7,60,51.080657
463.7,60,51.157481
-171.15,38,51.20711
224.55,60,51.284648
705.7,60,51.519524
726.15,60,51.600165
681.15,60,51.675488
28.55,60,51.749408
447.85,60,51.824999
964.2,60,51.911634
671.6,60,51.987069
812.75,60,52.067889
269.3,60,52.172487
-184.4,18,52.201939
812.35,60,52.294995
-159.05,8,52.309436
775.55,60,52.384676
494.75,60,52.45893
888.35,60,52.538697
-150.0,5,52.54505
590.85,60,52.622658
618.6,60,52.700741
849.05,60,52.780163
-162.05,8,52.789909
698.85,60,53.020753
447.3,60,53.102005
692.7,60,53.176688
812.75,60,53.25344
456.75,60,53.33077
475.3,60,53.406197
671.75,60,53.482676
812.5,60,53.560546
834.1,60,53.641122
411.5,60,53.71582
922.55,60,53.792151
-3.55,60,53.877775
-46.3,60,53.953791
891.45,60,54.031847
951.1,60,54.106178
340.7,60,54.179168
578.9,60,54.253896
419.3,60,54.480795
-168.6,59,54.558703
111.9,60,54.636211
-169.05,50,54.699709
846.45,60,54.777761
390.3,60,54.856138
564.0,60,54.940315
-161.05,48,55.002302
327.4,60,55.079051
907.55,60,55.155266
722.85,60,55.230814
823.8,60,55.306369
-151.3,8,55.316263
87.9,60,55.389856
345.45,60,55.46885
484.5,60,55.547668
170.9,60,55.625695
873.2,60,55.70248
872.95,60,55.780264
852.5,60,56.015933
699.95,60,56.094508
211.8,60,56.172811
-30.2,60,56.25123
749.75,60,56.328543
832.95,60,56.409604
1006.8,60,56.485385
277.25,60,56.567612
-101.85,60,56.642588
136.85,60,56.717394
598.55,60,56.79301
439.4,60,56.880608
346.5,60,56.958332
772.6,60,57.034588
-70.0,60,57.109836
653.55,60,57.184018
