#{"t_start": 1784588992.1760788, "env_id": "None"}
r,l,t
35.25,60,0.010953
127.8,60,0.018116
49.5,60,0.025038
-161.0,8,0.026045
250.6,60,0.032796
561.85,60,0.039374
534.65,60,0.046143
450.4,60,0.052378
604.05,60,0.059296
-0.25,60,0.066191
444.1,60,0.073183
692.4,60,0.079808
334.0,60,0.086502
296.25,60,0.092121
-30.45,60,0.097635
552.9,60,0.103091
478.45,60,0.108705
604.6,60,0.126638
296.8,60,0.154821
96.0,60,0.183286
451.45,60,0.212701
313.6,60,0.242029
349.05,60,0.269806
287.35,60,0.297558
655.05,60,0.326602
521.35,60,0.353982
720.0,60,0.38096
632.9,60,0.408439
536.5,60,0.439546
478.7,60,0.467349
638.1,60,0.495302
326.35,60,0.523047
591.7,60,0.550058
548.5,60,0.580749
533.45,60,0.60992
441.8,60,0.638459
455.7,60,0.666382
-157.55,32,0.681254
403.2,60,0.712071
629.5,60,0.742435
-151.25,11,0.74767
562.35,60,0.774882
400.6,60,0.80607
190.3,60,0.853288
466.0,60,0.890088
396.0,60,0.929982
166.4,60,0.966949
309.65,60,0.999203
-181.35,9,1.004419
372.35,60,1.03931
357.0,60,1.070151
-153.9,16,1.078586
421.95,60,1.110721
469.65,60,1.14033
-157.5,8,1.144612
249.75,60,1.173675
-159.5,9,1.179417
316.95,60,1.208891
161.9,60,1.238592
738.1,60,1.266418
664.5,60,1.294287
613.25,60,1.327088
693.3,60,1.357048
-175.65,49,1.380584
488.05,60,1.412796
608.7,60,1.443918
465.15,60,1.472845
612.6,60,1.503123
509.05,60,1.533587
-150.55,23,1.544882
612.1,60,1.573729
696.3,60,1.602714
727.35,60,1.632364
929.35,60,1.66157
658.05,60,1.692252
562.2,60,1.723368
407.9,60,1.752945
672.75,60,1.782182
-192.55,8,1.78615
-158.25,27,1.797901
800.5,60,1.826235
740.4,60,1.855969
241.4,60,1.883023
694.75,60,1.910911
457.3,60,1.941379
214.5,60,1.969429
911.35,60,1.998371
518.7,60,2.028174
770.5,60,2.057097
843.65,60,2.087152
662.6,60,2.117353
929.0,60,2.152377
800.25,60,2.190749
-187.3,11,2.200218
827.3,60,2.236024
-56.3,60,2.280571
581.7,60,2.319734
-166.8,13,2.327142
755.25,60,2.357063
746.4,60,2.389902
746.2,60,2.420322
869.85,60,2.45004
693.35,60,2.479675
48.25,60,2.510765
229.05,60,2.540876
858.85,60,2.579784
494.5,60,2.624739
866.5,60,2.660358
594.05,60,2.697599
690.0,60,2.740645
931.25,60,2.777156
731.5,60,2.811263
885.3,60,2.847198
1053.7,60,2.880229
599.5,60,2.911416
