#{"t_start": 1784588783.2472954, "env_id": "None"}
r,l,t
-170.05,52,7.890893
469.0,60,7.917236
845.65,60,7.945055
988.9,60,7.972848
976.0,60,7.996962
674.65,60,8.021938
570.95,60,8.046992
524.6,60,8.071431
931.9,60,8.096491
462.1,60,8.121555
1044.9,60,8.146222
675.6,60,8.170602
852.25,60,8.194663
743.2,60,8.219157
937.95,60,8.243536
675.15,60,8.267969
844.8,60,8.365969
927.1,60,8.390246
150.3,60,8.413291
-150.1,21,8.42152
325.4,60,8.444366
682.2,60,8.467402
714.35,60,8.490371
912.95,60,8.513485
586.8,60,8.536407
536.7,60,8.559219
227.3,60,8.583849
549.5,60,8.609511
960.65,60,8.632858
745.0,60,8.655706
599.55,60,8.680422
908.2,60,8.705557
943.65,60,8.729899
-19.1,60,8.753563
279.75,60,8.872736
597.05,60,8.899245
979.45,60,8.926346
-210.45,12,8.931766
791.45,60,8.956638
481.75,60,8.983872
554.7,60,9.009152
886.5,60,9.034656
426.45,60,9.058085
640.1,60,9.082892
518.55,60,9.106977
-153.5,4,9.108753
623.6,60,9.132462
691.85,60,9.155673
-88.65,60,9.180166
712.35,60,9.203713
563.95,60,9.226848
731.0,60,9.251011
736.7,60,9.2757
571.8,60,9.372183
189.35,60,9.397501
495.35,60,9.424903
939.2,60,9.451411
244.35,60,9.479477
183.7,60,9.507128
632.75,60,9.531276
954.15,60,9.554807
837.75,60,9.578562
708.4,60,9.603462
394.7,60,9.626967
583.0,60,9.652227
455.85,60,9.676272
279.3,60,9.701166
720.9,60,9.724224
829.25,60,9.748669
826.5,60,9.774103
959.45,60,9.872198
99.8,60,9.895922
249.3,60,9.91943
697.9,60,9.943068
714.5,60,9.966437
-153.9,11,9.970903
-156.6,5,9.972946
568.95,60,9.996887
923.2,60,10.020278
484.45,60,10.043567
-163.4,9,10.047252
827.2,60,10.07151
836.95,60,10.097
739.4,60,10.121387
594.3,60,10.146134
245.75,60,10.170735
779.9,60,10.194732
559.35,60,10.218555
747.05,60,10.243184
-173.2,16,10.249589
1001.8,60,10.347549
-161.15,38,10.362308
810.85,60,10.38541
558.45,60,10.408389
772.2,60,10.43134
-160.95,20,10.439142
389.95,60,10.461853
523.2,60,10.486339
454.45,60,10.509845
931.5,60,10.532961
619.35,60,10.557056
791.8,60,10.581078
586.6,60,10.605568
63.0,60,10.628774
-168.05,30,10.640896
186.3,60,10.664214
211.8,60,10.688309
816.05,60,10.712633
574.3,60,10.736989
531.0,60,10.843934
623.1,60,10.868997
-58.0,60,10.89275
630.6,60,10.916194
727.05,60,10.939739
958.9,60,10.962846
716.05,60,10.989459
807.35,60,11.012998
1100.8,60,11.036905
743.55,60,11.061247
656.85,60,11.085979
147.15,60,11.110839
710.2,60,11.135322
664.4,60,11.158328
538.2,60,11.183218
872.3,60,11.20735
772.6,60,11.230371
382.6,60,11.33601
465.35,60,11.359194
-174.8,8,11.362575
495.85,60,11.385981
706.0,60,11.409147
711.35,60,11.432303
306.55,60,11.455301
-154.65,31,11.467324
398.45,60,11.491358
-150.6,11,11.495849
658.2,60,11.519135
74.85,60,11.543699
867.1,60,11.56783
-160.0,8,11.571292
741.75,60,11.595572
550.65,60,11.620521
213.6,60,11.644228
-156.25,12,11.649027
-171.75,13,11.654511
555.2,60,11.679575
935.95,60,11.703682
748.9,60,11.727243
86.95,60,11.831072
218.75,60,11.854684
672.45,60,11.879138
868.4,60,11.902379
585.95,60,11.926154
379.8,60,11.949944
448.95,60,11.977091
-163.2,16,11.98371
511.25,60,12.009431
913.05,60,12.033589
1014.4,60,12.056634
489.6,60,12.0803
777.85,60,12.104538
744.75,60,12.127914
522.35,60,12.152012
191.9,60,12.176471
-183.5,13,12.181669
881.35,60,12.206406
518.9,60,12.30099
845.2,60,12.324037
-160.0,22,12.333251
270.7,60,12.356029
-151.8,47,12.375367
602.1,60,12.401249
656.55,60,12.4245
877.9,60,12.44794
665.15,60,12.471272
170.9,60,12.496144
747.75,60,12.520497
704.45,60,12.544479
948.15,60,12.568292
881.5,60,12.592585
992.55,60,12.616448
800.25,60,12.640913
753.5,60,12.665479
610.4,60,12.689193
424.8,60,12.800354
-157.25,18,12.807656
187.45,60,12.831154
620.65,60,12.855005
548.85,60,12.878641
79.9,60,12.902204
731.9,60,12.925401
756.7,60,12.948577
682.25,60,12.973222
359.8,60,12.998321
488.6,60,13.021676
289.7,60,13.047177
624.7,60,13.071107
757.1,60,13.094912
343.2,60,13.119819
596.8,60,13.144454
898.0,60,13.17439
163.95,60,13.201955
56.65,60,13.304509
574.75,60,13.328214
636.05,60,13.351833
935.7,60,13.37545
423.0,60,13.39917
848.35,60,13.42324
620.9,60,13.447096
581.55,60,13.470816
62.05,60,13.494492
268.15,60,13.518763
285.85,60,13.543367
576.8,60,13.567653
783.65,60,13.591418
542.25,60,13.615634
339.4,60,13.640403
565.55,60,13.664277
433.9,60,13.68812
756.9,60,13.805503
595.4,60,13.833086
711.95,60,13.856714
634.3,60,13.880352
456.55,60,13.903491
664.55,60,13.926255
643.2,60,13.949092
535.95,60,13.972625
101.0,60,13.996646
483.6,60,14.021268
678.45,60,14.045548
-182.25,55,14.068659
743.25,60,14.092396
-168.05,9,14.096267
679.4,60,14.120496
1004.0,60,14.144687
82.3,60,14.168998
-154.4,39,14.183922
593.05,60,14.287365
979.55,60,14.314688
455.7,60,14.340153
679.45,60,14.363295
106.45,60,14.386167
200.85,60,14.409393
289.3,60,14.43222
929.95,60,14.455297
683.6,60,14.478284
371.1,60,14.502545
698.9,60,14.526341
582.85,60,14.548976
808.3,60,14.572885
673.55,60,14.595739
783.4,60,14.620342
607.15,60,14.644502
656.2,60,14.668962
840.95,60,14.784871
726.4,60,14.813205
641.85,60,14.83882
-152.0,19,14.846466
109.75,60,14.869849
489.0,60,14.893317
-177.5,31,14.905727
785.8,60,14.929557
988.8,60,14.952999
637.9,60,14.976749
166.85,60,15.0011
828.35,60,15.026665
527.1,60,15.051044
534.1,60,15.076048
415.9,60,15.101008
729.0,60,15.12566
800.45,60,15.15004
901.1,60,15.174594
604.75,60,15.199197
554.6,60,15.295634
-158.2,16,15.301929
474.4,60,15.325088
902.95,60,15.348058
-153.55,15,15.353971
-153.5,7,15.356732
871.0,60,15.37948
516.15,60,15.402511
130.35,60,15.429122
426.85,60,15.455562
728.7,60,15.48012
-150.85,25,15.490214
-155.7,53,15.51236
623.15,60,15.536758
-153.8,21,15.544988
-207.0,9,15.548483
366.9,60,15.572873
776.3,60,15.596804
110.9,60,15.621704
297.2,60,15.646443
687.15,60,15.674014
600.35,60,15.788034
376.7,60,15.816089
668.0,60,15.843268
658.6,60,15.8704
504.6,60,15.898605
383.95,60,15.925836
625.95,60,15.951948
707.85,60,15.977866
591.55,60,16.002736
514.65,60,16.02904
703.2,60,16.054543
672.9,60,16.079861
867.7,60,16.105921
80.95,60,16.132392
-11.45,60,16.157303
748.0,60,16.182196
683.5,60,16.207622
848.25,60,16.319109
-158.3,10,16.323817
718.6,60,16.350566
704.4,60,16.377477
894.15,60,16.405169
663.4,60,16.432108
-67.95,60,16.457938
261.8,60,16.484608
882.55,60,16.510564
598.5,60,16.535926
-95.75,60,16.560639
569.6,60,16.585826
344.3,60,16.610138
333.95,60,16.635384
-167.5,12,16.640311
529.05,60,16.664994
797.5,60,16.689421
254.9,60,16.715046
490.4,60,16.740865
252.4,60,16.854098
607.7,60,16.87929
529.3,60,16.904258
39.95,60,16.928332
176.7,60,16.951762
-155.55,14,16.957372
862.3,60,16.981032
314.5,60,17.010628
630.15,60,17.034931
604.85,60,17.059722
321.0,60,17.085263
-157.0,9,17.089514
460.85,60,17.115343
564.9,60,17.141012
509.0,60,17.165319
618.45,60,17.189943
619.7,60,17.215659
779.85,60,17.240835
37.95,60,17.265198
333.55,60,17.37583
946.25,60,17.405088
459.6,60,17.43379
-172.5,6,17.436809
913.5,60,17.464596
392.5,60,17.490107
695.7,60,17.516584
533.1,60,17.54124
769.25,60,17.566226
38.2,60,17.591758
-154.0,3,17.593224
328.65,60,17.618396
62.2,60,17.643399
936.35,60,17.672261
903.95,60,17.699512
805.35,60,17.723547
761.0,60,17.751036
334.2,60,17.778062
469.1,60,17.805717
303.5,60,17.919412
324.75,60,17.942724
627.8,60,17.96608
37.75,60,17.989421
457.7,60,18.01451
372.7,60,18.04102
484.9,60,18.067738
660.0,60,18.091655
-155.55,50,18.111849
883.7,60,18.135613
117.4,60,18.160541
805.3,60,18.186066
723.6,60,18.213973
872.6,60,18.240726
841.65,60,18.266326
496.15,60,18.292117
26.95,60,18.317949
574.1,60,18.437782
299.45,60,18.464227
492.95,60,18.491692
291.3,60,18.515972
756.95,60,18.54147
699.0,60,18.565168
686.05,60,18.589881
917.65,60,18.614208
734.05,60,18.639088
522.2,60,18.664189
802.35,60,18.689452
-162.85,20,18.697842
853.85,60,18.722425
375.95,60,18.747031
643.15,60,18.776896
756.1,60,18.804646
851.7,60,18.832192
255.6,60,18.857547
486.55,60,18.993772
675.75,60,19.022593
765.75,60,19.052927
552.85,60,19.08474
175.35,60,19.114103
366.5,60,19.144268
273.2,60,19.174463
981.35,60,19.199715
30.35,60,19.224617
512.05,60,19.252221
719.15,60,19.279147
545.5,60,19.306569
512.65,60,19.335285
512.15,60,19.363237
636.45,60,19.391484
950.35,60,19.421588
593.2,60,19.451969
972.9,60,19.603249
387.0,60,19.633305
574.8,60,19.666502
-166.15,8,19.670723
522.0,60,19.701189
34.45,60,19.729203
593.35,60,19.756839
-188.05,9,19.761401
275.9,60,19.788333
-159.0,9,19.792323
-183.15,50,19.813606
382.8,60,19.839487
483.45,60,19.866247
-184.65,35,19.882524
679.1,60,19.911293
657.5,60,19.940923
964.55,60,19.96646
578.15,60,19.992348
610.55,60,20.017753
431.7,60,20.042799
169.7,60,20.15817
-193.65,21,20.168109
-171.05,11,20.173214
659.05,60,20.201207
640.75,60,20.22855
516.85,60,20.25478
848.7,60,20.283363
800.1,60,20.31154
669.9,60,20.337748
629.2,60,20.362233
979.85,60,20.386642
214.85,60,20.412161
674.2,60,20.437017
505.85,60,20.461525
776.8,60,20.485327
506.2,60,20.511891
782.3,60,20.538182
861.6,60,20.565031
253.1,60,20.685237
317.15,60,20.711248
590.7,60,20.736564
544.5,60,20.760744
294.45,60,20.783911
525.4,60,20.810113
807.85,60,20.834305
746.95,60,20.858007
205.25,60,20.881862
673.0,60,20.905855
298.05,60,20.930753
796.1,60,20.955673
683.25,60,20.981044
147.8,60,21.008855
815.8,60,21.034026
938.25,60,21.060039
532.1,60,21.085066
-172.45,10,21.089619
840.15,60,21.206475
660.9,60,21.234515
714.2,60,21.26297
-20.3,60,21.292314
655.55,60,21.321311
746.9,60,21.349562
99.0,60,21.377003
203.4,60,21.404789
961.15,60,21.429233
733.65,60,21.453406
1061.5,60,21.478994
749.85,60,21.506682
653.9,60,21.534242
