#{"t_start": 1784589089.122178, "env_id": "None"}
r,l,t
516.9,60,1.387613
-154.3,9,1.405288
560.35,60,1.492362
601.3,60,1.582109
613.7,60,1.698489
671.5,60,1.788598
479.45,60,1.87816
471.35,60,1.980274
741.75,60,2.083065
400.05,60,2.173455
364.3,60,2.271271
506.3,60,2.38344
619.8,60,2.483778
368.75,60,2.587945
848.3,60,2.701161
345.8,60,2.793604
279.8,60,2.889307
661.5,60,3.346294
-155.55,17,3.366688
593.8,60,3.455975
616.45,60,3.553845
263.7,60,3.637263
-161.5,5,3.643906
479.65,60,3.721328
431.1,60,3.798732
644.15,60,3.886087
220.3,60,3.972326
-172.35,20,4.000962
565.55,60,4.086095
588.05,60,4.176835
565.2,60,4.266501
473.45,60,4.374634
-151.0,2,4.377433
460.75,60,4.466662
803.45,60,4.551669
301.95,60,4.643242
85.05,60,4.733134
723.0,60,4.814427
705.25,60,5.085596
518.55,60,5.184214
389.55,60,5.27617
-162.25,16,5.298471
641.75,60,5.388376
295.95,60,5.475869
269.5,60,5.56706
797.55,60,5.652243
839.45,60,5.742573
644.5,60,5.829482
285.8,60,5.921999
384.85,60,6.00898
760.75,60,6.111037
718.95,60,6.19433
859.15,60,6.285681
-168.55,9,6.304243
649.75,60,6.390493
550.55,60,6.477952
532.45,60,6.78299
521.45,60,6.866644
604.25,60,6.975911
758.25,60,7.048516
298.9,60,7.132694
337.3,60,7.216924
786.55,60,7.304434
364.3,60,7.396772
749.9,60,7.487725
538.1,60,7.593727
453.7,60,7.696187
-196.9,31,7.760385
502.5,60,7.875233
722.7,60,7.977698
772.95,60,8.075556
849.5,60,8.166584
626.9,60,8.25504
826.6,60,8.379185
730.45,60,8.676624
833.95,60,8.754639
955.05,60,8.860529
730.9,60,8.976713
-156.4,22,9.016429
-179.5,4,9.023981
552.6,60,9.126457
763.0,60,9.235599
44.85,60,9.327729
710.5,60,9.416009
505.3,60,9.536068
269.0,60,9.659226
579.25,60,9.77306
746.7,60,9.884322
-34.1,60,10.000597
553.35,60,10.111926
512.2,60,10.220845
725.75,60,10.331336
834.8,60,10.446785
555.55,60,10.776572
660.3,60,10.871555
676.9,60,10.967615
526.7,60,11.085431
449.1,60,11.205837
405.45,60,11.318753
477.1,60,11.407053
79.25,60,11.496198
286.05,60,11.585725
708.55,60,11.676852
358.35,60,11.766448
536.65,60,11.864963
462.45,60,11.955231
-162.7,55,12.041446
763.5,60,12.130684
-162.35,42,12.200558
322.3,60,12.297269
54.4,60,12.596756
544.1,60,12.683125
760.55,60,12.779473
405.6,60,12.858789
213.15,60,12.956325
692.8,60,13.057591
531.15,60,13.161642
676.1,60,13.251766
137.75,60,13.337257
754.95,60,13.41011
-183.6,17,13.43312
405.8,60,13.525075
137.6,60,13.61026
-161.0,5,13.616938
831.65,60,13.703192
829.3,60,13.801639
768.65,60,13.897346
-154.4,30,13.96871
738.3,60,14.088275
799.4,60,14.391141
598.6,60,14.474913
882.4,60,14.563411
684.6,60,14.654664
742.05,60,14.779094
682.45,60,14.869139
290.0,60,14.993001
77.8,60,15.098249
194.2,60,15.205064
430.75,60,15.299433
603.95,60,15.390826
580.95,60,15.510655
801.85,60,15.635132
-160.35,10,15.656006
941.25,60,15.755986
1022.65,60,15.858393
374.8,60,15.969698
780.3,60,16.068485
395.6,60,16.346468
366.15,60,16.441134
628.25,60,16.55257
524.45,60,16.656793
406.85,60,16.763246
621.45,60,16.8859
795.8,60,17.005418
641.05,60,17.105235
220.75,60,17.199697
226.55,60,17.306446
-182.0,5,17.315317
629.85,60,17.402895
-159.6,50,17.484217
573.65,60,17.581752
911.85,60,17.689569
846.25,60,17.783903
545.05,60,17.866064
836.2,60,17.953595
831.2,60,18.240918
-159.5,7,18.250489
654.95,60,18.344317
502.35,60,18.452088
581.35,60,18.531773
-165.8,25,18.565588
665.7,60,18.655796
-2.95,60,18.750221
524.7,60,18.840781
932.9,60,18.929961
349.0,60,19.015553
569.5,60,19.09796
-156.9,43,19.156037
476.9,60,19.251509
638.1,60,19.330118
616.1,60,19.414294
520.2,60,19.4987
434.5,60,19.584639
-162.85,12,19.602772
569.8,60,19.722571
821.2,60,20.014396
174.65,60,20.112284
224.45,60,20.195087
788.5,60,20.280955
302.35,60,20.36554
708.2,60,20.448777
909.6,60,20.528791
773.45,60,20.615408
672.15,60,20.702557
569.5,60,20.788691
313.5,60,20.879331
626.45,60,20.972007
716.6,60,21.057314
-155.45,16,21.081801
-165.5,9,21.097492
398.25,60,21.178489
683.35,60,21.264375
