#{"t_start": 1784588893.0132864, "env_id": "None"}
r,l,t
833.5,60,15.053573
534.65,60,15.08746
894.55,60,15.12571
909.55,60,15.156409
582.55,60,15.186408
1123.5,60,15.217479
988.5,60,15.251981
645.9,60,15.287042
1067.05,60,15.322942
933.0,60,15.357875
620.9,60,15.393889
1013.5,60,15.430325
677.65,60,15.462998
844.6,60,15.498641
510.9,60,15.533203
-3.65,60,15.566836
492.6,60,15.60314
-158.8,34,15.622195
953.85,60,15.651864
388.85,60,15.688114
766.85,60,15.722777
851.65,60,15.758134
589.4,60,15.861372
662.0,60,15.946961
952.1,60,16.045471
929.8,60,16.158268
594.95,60,16.268094
745.85,60,16.394495
157.65,60,16.514828
642.55,60,16.634066
752.65,60,16.760634
806.4,60,16.859924
676.3,60,16.98067
443.9,60,17.094036
903.95,60,17.232471
950.7,60,17.383687
556.25,60,17.519759
832.7,60,17.653061
203.9,60,17.771615
1027.8,60,17.895216
740.75,60,18.042661
908.9,60,18.140445
841.5,60,18.26963
453.15,60,18.396484
932.7,60,18.518899
696.9,60,18.630881
698.2,60,18.735296
752.05,60,18.871939
1020.2,60,19.008086
206.35,60,19.134558
617.15,60,19.252775
512.25,60,19.34487
506.6,60,19.460053
423.1,60,19.568182
804.75,60,19.690619
679.15,60,19.790087
307.25,60,19.89126
829.65,60,19.997822
333.35,60,20.107751
255.0,60,20.235402
450.3,60,20.351546
1026.5,60,20.467156
443.3,60,20.611483
712.1,60,20.713573
831.25,60,20.835677
103.1,60,20.966015
-189.5,13,20.987119
508.65,60,21.097124
808.7,60,21.217667
743.45,60,21.335605
612.75,60,21.450643
765.6,60,21.572809
567.6,60,21.67031
504.2,60,21.775235
321.6,60,21.88903
553.4,60,21.981899
560.5,60,22.078901
907.0,60,22.174408
-150.5,15,22.197556
106.05,60,22.280481
559.2,60,22.370153
898.55,60,22.454143
1090.2,60,22.538705
544.5,60,22.620269
-173.5,6,22.627162
435.6,60,22.712407
99.95,60,22.805857
454.95,60,22.887285
674.3,60,22.970922
928.15,60,23.060432
-156.5,6,23.07317
309.7,60,23.176136
578.35,60,23.306429
563.8,60,23.40504
665.2,60,23.489439
498.65,60,23.573111
649.35,60,23.671051
-203.0,3,23.676245
959.25,60,23.761865
532.3,60,23.848269
-156.15,24,23.88138
768.0,60,23.965491
671.8,60,24.052742
551.85,60,24.147502
910.05,60,24.236563
315.25,60,24.329673
-203.7,37,24.379061
698.4,60,24.46663
936.6,60,24.55058
1037.45,60,24.634216
123.4,60,24.732875
511.55,60,24.819331
1045.55,60,24.907127
367.15,60,24.996492
956.5,60,25.10017
499.35,60,25.186599
590.8,60,25.281816
786.25,60,25.367704
412.15,60,25.466034
871.3,60,25.547681
408.25,60,25.629303
377.15,60,25.712305
474.2,60,25.796138
606.55,60,25.889119
438.95,60,25.971605
580.65,60,26.057245
722.75,60,26.137419
835.2,60,26.229865
760.15,60,26.325816
-153.55,50,26.395851
648.65,60,26.483513
916.45,60,26.572982
658.8,60,26.670738
848.05,60,26.769133
398.8,60,26.863378
676.15,60,26.950542
936.75,60,27.04741
844.25,60,27.135107
412.3,60,27.240812
581.95,60,27.32806
825.55,60,27.417785
899.35,60,27.504569
658.2,60,27.597285
586.35,60,27.696138
330.2,60,27.784801
1046.6,60,27.868895
1067.9,60,27.958385
995.75,60,28.04691
356.9,60,28.149091
720.95,60,28.245481
1078.55,60,28.349877
997.9,60,28.434016
609.0,60,28.52304
672.9,60,28.614999
696.45,60,28.704666
491.35,60,28.78488
264.35,60,28.863969
277.45,60,28.943885
492.05,60,29.022338
778.75,60,29.110315
652.25,60,29.19369
299.75,60,29.278939
671.85,60,29.367424
901.5,60,29.447309
343.85,60,29.52712
465.75,60,29.588778
701.1,60,29.6333
642.85,60,29.674404
894.85,60,29.713256
650.7,60,29.746883
958.45,60,29.784898
821.35,60,29.820315
665.65,60,29.857253
451.4,60,29.893787
1068.5,60,29.928302
518.85,60,29.962137
966.05,60,29.995533
621.8,60,30.031015
626.6,60,30.065918
545.0,60,30.100719
1095.1,60,30.134129
765.9,60,30.168474
601.5,60,30.201719
919.8,60,30.24062
1081.1,60,30.273405
384.25,60,30.308249
844.3,60,30.344152
668.45,60,30.378062
398.9,60,30.41255
804.25,60,30.447013
799.7,60,30.479166
786.4,60,30.514046
561.4,60,30.546343
808.15,60,30.57925
894.65,60,30.616257
862.55,60,30.654092
788.85,60,30.689676
586.45,60,30.72465
924.5,60,30.762697
1081.2,60,30.803814
766.55,60,30.839804
921.65,60,30.876574
715.4,60,30.912912
502.9,60,30.949414
876.4,60,30.985591
834.0,60,31.026579
903.3,60,31.073201
834.65,60,31.112625
640.3,60,31.160499
323.95,60,31.202665
742.65,60,31.239781
384.0,60,31.281447
843.95,60,31.329723
613.55,60,31.376715
879.9,60,31.415041
481.9,60,31.455472
643.35,60,31.494714
838.15,60,31.535324
756.85,60,31.581125
936.3,60,31.620697
746.55,60,31.655217
1116.1,60,31.687436
1008.1,60,31.722449
783.95,60,31.760531
764.7,60,31.797441
557.6,60,31.833395
677.75,60,31.869742
441.6,60,31.905672
822.0,60,31.94202
721.9,60,31.977432
964.9,60,32.014508
483.7,60,32.050654
530.95,60,32.086899
806.5,60,32.124461
841.45,60,32.162396
754.45,60,32.198526
838.3,60,32.235504
682.85,60,32.273444
794.2,60,32.311054
690.7,60,32.343804
421.4,60,32.377684
630.1,60,32.410225
592.3,60,32.444255
708.4,60,32.4768
772.95,60,32.512522
514.9,60,32.548022
830.0,60,32.583916
506.8,60,32.622571
450.35,60,32.659423
893.75,60,32.70532
862.8,60,32.740973
804.6,60,32.785049
970.4,60,32.822358
408.9,60,32.858934
679.15,60,32.898187
636.8,60,32.937313
870.35,60,32.977087
604.3,60,33.026713
1016.4,60,33.066108
282.3,60,33.102949
696.35,60,33.139847
669.1,60,33.183715
743.85,60,33.221115
879.35,60,33.259969
551.65,60,33.295973
955.75,60,33.334281
460.5,60,33.378105
976.35,60,33.417813
871.05,60,33.455377
756.35,60,33.491494
1084.4,60,33.529701
631.8,60,33.567504
689.6,60,33.602047
660.25,60,33.637178
1088.65,60,33.672325
940.6,60,33.706565
467.0,60,33.742475
418.75,60,33.782251
872.45,60,33.818975
537.25,60,33.856334
648.1,60,33.891576
842.5,60,33.927199
699.35,60,33.961435
793.75,60,33.997725
166.35,60,34.030888
937.9,60,34.069095
783.75,60,34.104739
705.55,60,34.137314
928.35,60,34.168615
1118.6,60,34.199569
857.6,60,34.233681
888.3,60,34.269032
367.9,60,34.302032
766.95,60,34.337736
943.5,60,34.372641
264.3,60,34.405694
588.85,60,34.436245
844.95,60,34.467201
704.5,60,34.500614
1014.2,60,34.536201
397.5,60,34.577499
743.2,60,34.613123
807.35,60,34.653189
959.05,60,34.691844
568.75,60,34.75053
906.4,60,34.795111
574.3,60,34.827039
786.5,60,34.862181
702.0,60,34.89712
386.4,60,34.931102
863.55,60,34.966791
763.2,60,35.001359
389.5,60,35.035037
773.8,60,35.071502
446.0,60,35.106162
646.75,60,35.141487
