#{"t_start": 1784588846.6388874, "env_id": "None"}
r,l,t
553.5,60,0.010518
808.45,60,0.017143
665.9,60,0.023748
-155.2,4,0.024298
639.2,60,0.030928
288.6,60,0.037404
-152.8,34,0.041244
-162.85,22,0.044383
806.0,60,0.05114
466.05,60,0.057884
684.9,60,0.064943
809.35,60,0.071938
480.15,60,0.078662
719.6,60,0.085406
328.3,60,0.092042
918.1,60,0.098735
690.7,60,0.104823
505.7,60,0.110602
206.5,60,0.126535
660.05,60,0.152272
491.05,60,0.179368
442.25,60,0.206123
504.55,60,0.23696
768.15,60,0.264937
606.65,60,0.29177
361.75,60,0.320496
-150.05,23,0.331448
570.15,60,0.360257
764.25,60,0.388374
501.15,60,0.412
406.15,60,0.435721
326.35,60,0.462577
470.75,60,0.487391
535.8,60,0.512188
401.6,60,0.538982
359.0,60,0.565341
536.65,60,0.589578
171.2,60,0.61406
334.65,60,0.641814
-60.05,60,0.665562
448.95,60,0.692467
630.9,60,0.723789
536.0,60,0.753133
-123.6,60,0.782577
544.05,60,0.816403
286.9,60,0.84822
497.55,60,0.878063
564.25,60,0.907109
506.25,60,0.939223
354.1,60,0.968266
403.15,60,0.996823
173.35,60,1.026872
371.35,60,1.056856
538.7,60,1.082262
286.2,60,1.109089
493.0,60,1.132758
397.95,60,1.161222
236.05,60,1.188829
676.75,60,1.219681
196.4,60,1.250104
651.95,60,1.28202
470.2,60,1.314266
591.5,60,1.345353
884.6,60,1.371933
737.65,60,1.396966
756.35,60,1.424836
910.95,60,1.453949
-163.8,23,1.464854
704.75,60,1.493385
735.65,60,1.52154
534.4,60,1.550544
-162.3,6,1.552862
816.9,60,1.580428
671.25,60,1.607753
359.9,60,1.634961
-153.5,10,1.641159
936.6,60,1.672284
600.4,60,1.700727
-151.5,10,1.704866
551.3,60,1.734936
67.85,60,1.761219
883.85,60,1.789286
665.7,60,1.817325
803.95,60,1.850243
919.6,60,1.877569
245.25,60,1.904659
833.3,60,1.932608
805.85,60,1.959712
-163.25,42,1.978714
-166.3,12,1.984455
899.5,60,2.011448
860.0,60,2.040388
144.3,60,2.06988
1083.3,60,2.100308
945.3,60,2.129423
-158.2,9,2.133759
-158.35,24,2.145952
740.35,60,2.175499
-170.55,60,2.201131
851.2,60,2.226916
-168.15,32,2.242181
56.15,60,2.272784
753.9,60,2.301186
710.25,60,2.330955
965.7,60,2.362604
128.7,60,2.390168
-158.3,16,2.398138
958.9,60,2.42773
598.15,60,2.456653
648.75,60,2.484713
86.25,60,2.513448
817.4,60,2.538335
773.65,60,2.567776
-184.05,14,2.575413
794.35,60,2.602116
512.4,60,2.627724
-187.1,38,2.643947
-180.05,30,2.656523
1124.85,60,2.685099
-178.6,51,2.709073
878.95,60,2.739232
799.65,60,2.769435
840.2,60,2.798122
489.45,60,2.827727
738.1,60,2.853671
-154.6,47,2.874548
952.9,60,2.90032
933.45,60,2.926001
921.35,60,2.956233
1070.55,60,2.986035
-153.6,35,3.00444
-93.8,60,3.034204
954.3,60,3.065308
614.3,60,3.093804
716.85,60,3.123644
102.35,60,3.153322
262.85,60,3.18557
-153.5,14,3.19227
-20.1,60,3.224306
-153.45,5,3.227696
-169.0,7,3.230897
-157.45,19,3.24173
-80.3,60,3.274946
-154.1,6,3.279011
1097.9,60,3.311069
924.75,60,3.348619
-151.7,28,3.364324
928.25,60,3.397938
1010.85,60,3.426476
390.2,60,3.459456
474.1,60,3.490064
-153.1,56,3.519109
1117.85,60,3.550885
514.05,60,3.580324
691.05,60,3.606126
868.45,60,3.631534
279.35,60,3.661867
872.25,60,3.692104
513.55,60,3.722403
-204.6,7,3.725374
-159.3,6,3.729256
-153.75,9,3.734
892.9,60,3.763994
400.2,60,3.795044
1013.9,60,3.823853
919.6,60,3.856498
127.25,60,3.886693
-163.2,9,3.890523
924.0,60,3.91911
331.8,60,3.946313
-171.95,6,3.949962
-168.45,6,3.952203
1189.25,60,3.980376
891.3,60,4.00962
617.9,60,4.040126
-161.05,6,4.04419
647.7,60,4.07571
475.35,60,4.103087
869.85,60,4.130416
841.1,60,4.160545
1049.95,60,4.192478
-164.7,12,4.198667
-171.55,28,4.213265
1278.3,60,4.243838
959.05,60,4.280831
-160.45,10,4.285758
466.75,60,4.317465
-160.25,30,4.334631
294.9,60,4.371507
550.0,60,4.40721
405.3,60,4.441242
845.75,60,4.47703
1218.3,60,4.510656
1211.8,60,4.542864
969.95,60,4.57197
482.45,60,4.603435
